case,category,n,median_s,min_s,max_s,median_user_s,median_system_s,median_rss_mib,peak_rss_mib,stable_output,rows,canonical_sha256
bio_fhla_oxys,biological,3,0.05311252799947397,0.05267703199933749,0.05330235899964464,0.04,0.0,16.76953125,16.890625,True,1,165ff5f67bf5903614b8fc7653fff64248c219da11cff07801126618cb05d286
bio_phob_gcvb,biological,3,0.9048649590004061,0.9041859469998599,0.910416979000729,0.89,0.0,18.2890625,18.40625,True,1,1cbb12dbc0dc51f763f8761b0dc0f09f1edabff1383765f5573802b39efc2d82
bio_ilve_gcvb,biological,3,1.1177904800006218,1.1098662849999528,1.1199043919987162,1.11,0.0,18.16015625,18.2578125,True,1,360b4839a53650b69187f15173e31d6d5381f92ae2160eb5f0b491459f1522c1
length_t100_q100,target_length,3,0.04297343200050818,0.042549560999759706,0.043153796999831684,0.03,0.0,16.5078125,16.63671875,True,1,56e5e9e3e2708eb4bcf8337d70e579627c7e358db58ae114d83fcefa3f3f476f
length_t300_q100,target_length,3,0.20398754899906635,0.20377666300009878,0.20510399199883977,0.19,0.0,18.01171875,18.13671875,True,1,0d3e8635baedfd7caec8224bc3b868ac8d1cef5fb1160e38c9688b423890bfbc
length_t1000_q100,target_length,3,0.8101189760000125,0.807303341000079,0.8149262689985335,0.79,0.0,20.015625,20.01953125,True,1,4e85ea382cca678c872dbd6a2db44166587c7287303aa9430e518c4eeeb1d532
length_t3000_q100,target_length,3,2.6574072240000532,2.653409743999873,2.658127496999441,2.64,0.01,23.8984375,24.06640625,True,1,ac0a33d379862a416bc3edd687b88afefeac18cdad25cf106c21f5973e63347d
length_t10000_q100,target_length,3,8.401225682000586,8.388628941000206,8.424986698999419,8.38,0.01,37.42578125,37.671875,True,1,5d6c1f384d539bc5fda5616d5e11d9e98d24ec10b9298782d00b5b7ec7296fcd
length_t300_q50,query_length,3,0.10347363499931816,0.10279123500004061,0.10393947699958517,0.09,0.0,18.3046875,18.34765625,True,1,306b50b1ba0f69f92f99c496bf5e4bf49df25dacf81605158b8799c778ff3702
length_t300_q200,query_length,3,0.5733741499989264,0.5692940849985462,0.5735474619996239,0.56,0.0,18.25390625,18.41015625,True,1,6e747a8a8fe75f9c3ea2b57537a98d51ea59616524b823e3f6281c80f3458fd1
length_t300_q400,query_length,3,1.210416753001482,1.2092694920011127,1.2208449209992978,1.2,0.0,18.5,18.75,True,1,767a9a3562e1a189027c80752807d58f04e3a292170bc7419dd07bf50dcd6e0a
length_t300_q800,query_length,3,3.3678859979991103,3.352356850000433,3.3691409359998943,3.35,0.01,19.375,19.5,True,1,ca61b547d1e7ee200285984443ed31e91c4e4b5e8818554f5802b2f586f3062c
composition_gc20,composition,3,0.19941384500089043,0.19747878199996194,0.20368136399883952,0.19,0.0,18.26171875,18.43359375,True,1,189bf014e7d2ecf315f52ea263a07972193755459722acc1e552c3a7bf35594a
composition_gc50,composition,3,0.25147621799987974,0.24987973399947805,0.25297503900037555,0.24,0.0,18.13671875,18.18359375,True,1,97eeb679802b461e8a3a14eeb519da4c34905020af9441c18e4cb58ed5865c97
