case,category,threads,predictions,n,median_s,min_s,max_s,range_over_median_pct,median_user_s,median_system_s,median_rss_mib,peak_rss_mib,stable_output,stable_bpList,reported_rows
bio_fhla,single_biological,1,1,5,0.05213176101096906,0.051920583995524794,0.05384203200810589,3.685753128839831,0.04,0.0,16.640625,16.8125,True,True,1
bio_phob,single_biological,1,1,5,0.9133113889838569,0.9058425399998669,0.9184326269896701,1.3785097987019381,0.9,0.0,18.17578125,18.34375,True,True,1
bio_ilve,single_biological,1,1,5,1.1102195940038655,1.1052614329964854,1.111796798009891,0.5886551677435921,1.09,0.0,18.16015625,18.28515625,True,True,1
length_t100_q100,target_length,1,1,5,0.0405016379954759,0.039928714017150924,0.04210757900727913,5.379695977657958,0.03,0.0,16.51171875,16.76171875,True,True,1
length_t300_q100,target_length,1,1,5,0.1991488939966075,0.1972356110054534,0.2009854279749561,1.8829213129180598,0.19,0.0,18.13671875,18.171875,True,True,1
length_t1000_q100,target_length,1,1,5,0.7525738010008354,0.7514865759876557,0.7826802869967651,4.144937143390508,0.74,0.0,20.015625,20.0625,True,True,1
length_t3000_q100,target_length,1,1,5,2.1440053019905463,2.1376575249887537,2.153072085988242,0.7189609552353815,2.13,0.01,23.65234375,23.7734375,True,True,1
length_t10000_q100,target_length,1,1,5,7.764085232978687,7.74936828299542,7.801169304002542,0.6671876911795447,7.74,0.01,37.34375,37.5546875,True,True,1
length_t300_q200,query_length,1,1,5,0.6931053780135699,0.6917077219986822,0.6954738420026843,0.5433690349937337,0.68,0.0,18.28515625,18.41015625,True,True,1
length_t300_q400,query_length,1,1,5,1.731255977996625,1.7239863559952937,1.7375136879854836,0.7813594385876669,1.72,0.0,18.625,18.75,True,True,1
length_t300_q800,query_length,1,1,5,4.499118794017704,4.484328860999085,4.5303278409992345,1.0223997655121362,4.48,0.0,19.25,19.375,True,True,1
long_pair,long_pair,1,1,5,47.30040218800423,47.27006206900114,47.38030960600008,0.2330794917149781,47.28,0.01,24.1640625,24.33203125,True,True,1
batch_gcvb_1t,biological_batch,1,48,5,35.16925403199275,35.04982378002023,35.24776148900855,0.5628146357845981,35.1,0.05,18.75390625,18.8828125,True,True,48
batch_gcvb_6t,biological_batch,6,48,5,8.113239448983222,8.002186400990468,8.134318319993326,1.6285963188158847,45.59,0.1,38.953125,39.078125,True,True,48
batch_gcvb_12t,biological_batch,12,48,5,7.540797736990498,7.29773114901036,7.73597934001009,5.811695344246597,79.2,0.31,63.63671875,63.828125,True,True,48
batch_chix_1t,biological_batch,1,48,5,5.10854894600925,5.101090468000621,5.13480633700965,0.6599891547553368,5.02,0.08,18.70703125,18.875,True,True,47
batch_chix_6t,biological_batch,6,48,5,1.1489883169997483,1.1434100409969687,1.1981851659948006,4.767248211962792,6.41,0.1,39.71875,39.78515625,True,True,47
batch_chix_12t,biological_batch,12,48,5,1.0221553519950248,1.0094753569865134,1.071719847008353,6.089533249554682,10.66,0.25,65.03515625,65.16015625,False,True,47
